ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.0007785456,0.13622919,0.37585807,0.13463116,-0.08207799,0.017575644,0.42606753,-0.34715176,-0.28993762,0.108227365,0.05501298,-0.19872332
0.00680314,0.13385698,0.36848307,0.13717717,-0.08529077,0.01992054,0.42606753,-0.34715176,-0.28993762,0.10951931,0.053693086,-0.19906473
0.011623047,0.13499625,0.37299228,0.14003853,-0.086053625,0.020148538,0.42238826,-0.35344338,-0.30336714,0.11085117,0.05238076,-0.19938159
0.010332806,0.13531269,0.37592506,0.14260176,-0.086892374,0.02154965,0.42238826,-0.35344338,-0.30336714,0.11225046,0.051034346,-0.19969606
0.007774871,0.13869122,0.38398457,0.14380437,-0.085477315,0.021994267,0.42338902,-0.3510244,-0.32056773,0.1136575,0.049726028,-0.20000267
0.012458017,0.13689077,0.3792739,0.14453702,-0.08475454,0.023333145,0.42338902,-0.3510244,-0.32056773,0.11509504,0.04840716,-0.20027995
0.012051579,0.13958083,0.3860476,0.1450156,-0.08153537,0.022918453,0.4249373,-0.36172587,-0.28177762,0.116525576,0.047155462,-0.20053649
0.012895839,0.14059493,0.38888454,0.14595175,-0.080786705,0.022774661,0.4249373,-0.36172587,-0.28177762,0.117991656,0.045896843,-0.20082188
0.014177129,0.13859461,0.39065218,0.14583299,-0.07696322,0.022173807,0.4245826,-0.36455828,-0.27755058,0.11943917,0.044714555,-0.20109582
0.01380582,0.13825008,0.40057564,0.14375255,-0.0745094,0.022142295,0.4245826,-0.36455828,-0.27755058,0.12086241,0.04355011,-0.2013855
0.016836137,0.13415325,0.40485334,0.14141151,-0.07146933,0.023827812,0.4214738,-0.36815608,-0.2995311,0.12222258,0.042444002,-0.20162249
0.022871729,0.13060173,0.41165066,0.1375651,-0.06772741,0.022434909,0.4214738,-0.36815608,-0.2995311,0.12352388,0.041378446,-0.20189452
0.026544392,0.13298549,0.42999792,0.136091,-0.0575039,0.01803509,0.4097634,-0.3590638,-0.30002737,0.12478169,0.04049252,-0.20224333
0.024200384,0.13603042,0.45082211,0.13091148,-0.052979626,0.016106477,0.4097634,-0.3590638,-0.30002737,0.12595409,0.039660763,-0.20261836
0.0215058,0.14238007,0.4626429,0.12380761,-0.05037046,0.013344242,0.41134393,-0.36313635,-0.3347174,0.12697172,0.038893122,-0.20305443
0.02705881,0.14064126,0.45963764,0.116441265,-0.049956582,0.012300625,0.41134393,-0.36313635,-0.3347174,0.12786067,0.03811741,-0.2035048
0.030623037,0.13999844,0.46609402,0.11186703,-0.052690938,0.010570357,0.41599947,-0.3702389,-0.27394664,0.12864393,0.037325636,-0.20397902
0.028098755,0.14387451,0.4648564,0.10883406,-0.055157177,0.010145601,0.41599947,-0.3702389,-0.27394664,0.12938459,0.036481433,-0.20448923
0.029061422,0.14764944,0.45103502,0.10649113,-0.05845578,0.00859911,0.40076077,-0.37365502,-0.29671586,0.13006344,0.03561264,-0.2050116
