ax, ay, az, gx, gy, gz, mx, my, mz, phi, theta, psi
-9.679369,0.768074,-0.715451,-0.151815,-0.010157,0.003513,0.501713,-0.590202,-0.085273,0,0,0
-9.671732,0.760482,-0.700567,-0.150877,-0.00827,0.002249,0.501713,-0.590202,-0.085273,0,0,0
-9.671687,0.745204,-0.678009,-0.149609,-0.000667,0.00137,0.494026,-0.582097,-0.085573,0,0,0
-9.656709,0.74505,-0.602482,-0.14389,-0.007098,-0.002223,0.494026,-0.582097,-0.085573,2.38409997700767,1.47965314568711,-0.668994242670055
-9.687258,0.752428,-0.609202,-0.12832,-0.00689,0.003307,0.494026,-0.582097,-0.085573,2.38352309381728,1.47963872927967,-0.669254872467111
-9.671761,0.737467,-0.640161,-0.121463,-0.007557,0.007828,0.494026,-0.582097,-0.085573,2.38286123061739,1.4796177329865,-0.669618075177667
-9.710243,0.767465,-0.616006,-0.108048,-0.00709,0.003053,0.493771,-0.590532,-0.038491,2.38233658508739,1.47960408452328,-0.669877134179722
-9.702606,0.759874,-0.601122,-0.089371,-0.008538,0.003422,0.493771,-0.590532,-0.038491,2.38174783366811,1.479576106919,-0.670232413102167
-9.679417,0.737377,-0.632379,-0.081339,-0.013066,0.002753,0.493771,-0.590532,-0.038491,2.38118365646394,1.47957376817978,-0.670598233804389
-9.664069,0.729931,-0.640459,-0.067784,-0.012866,0.004409,0.493771,-0.590532,-0.038491,2.38062436617756,1.47956820058417,-0.670993184027222
-9.671613,0.729953,-0.663041,-0.056763,-0.016122,0.007952,0.489063,-0.577309,-0.041133,2.37996122888839,1.47956240609594,-0.671520063576778
-9.686805,0.722231,-0.662766,-0.047086,-0.018749,0.008922,0.489063,-0.577309,-0.041133,2.37917687858506,1.47954341692972,-0.672150772675833
-9.702347,0.75247,-0.654365,-0.045231,-0.019748,0.005379,0.489063,-0.577309,-0.041133,2.37852515573956,1.47954853074011,-0.672695157863
-9.694534,0.737392,-0.669952,-0.026513,-0.0215,0.007675,0.489063,-0.577309,-0.041133,2.37784173774161,1.47955282424644,-0.673318344599333
-9.709818,0.737241,-0.661979,-0.026463,-0.019578,0.009951,0.496595,-0.592986,-0.09089,2.37714985490394,1.47954966520317,-0.673950170708167
-9.694682,0.744907,-0.647072,-0.017772,-0.026965,0.009899,0.496595,-0.592986,-0.09089,2.37626586383778,1.47954352164939,-0.674795974002555
-9.679268,0.75285,-0.708074,-0.012728,-0.018478,0.005179,0.496595,-0.592986,-0.09089,2.37572322397839,1.47954655851972,-0.675312399038722
-9.671704,0.76051,-0.708158,-0.013624,-0.02543,0.008319,0.496595,-0.592986,-0.09089,2.37498475834233,1.47955664651428,-0.676023236136056
-9.686979,0.752705,-0.685111,-0.003028,-0.017603,0.007153,0.486069,-0.590123,-0.091467,2.37444398598367,1.47955462193406,-0.676562140994
-9.679536,0.767907,-0.669906,-0.007542,-0.025183,0.006734,0.486069,-0.590123,-0.091467,2.37368180134311,1.47955057277361,-0.677311340395889
-9.710177,0.782855,-0.668928,0.003494,-0.0224,0.010989,0.486069,-0.590123,-0.091467,2.37299094824883,1.47955045060067,-0.678017308028722
-9.694792,0.767783,-0.669524,0.005992,-0.018958,0.007492,0.486069,-0.590123,-0.091467,2.37244041950789,1.47955017134822,-0.678588675983333
-9.671779,0.752774,-0.670311,0.011078,-0.027286,0.004519,0.501431,-0.589956,-0.080033,2.37180257201822,1.47956999827178,-0.679260470098278
-9.679489,0.775616,-0.700162,0.007566,-0.014223,0.005939,0.501431,-0.589956,-0.080033,2.37130232617056,1.47954750099672,-0.679784557123389
-9.664178,0.775795,-0.715726,0.009091,-0.014902,0.002073,0.501431,-0.589956,-0.080033,2.37094298063439,1.47954929868433,-0.680171705731056
-9.671667,0.775872,-0.753489,-0.001204,-0.013214,0.002379,0.501431,-0.589956,-0.080033,2.37058405397689,1.47954751845,-0.680532587155667
-9.656318,0.768426,-0.761569,-0.005004,-0.016965,0.005221,0.488914,-0.59307,-0.096607,2.37008852051422,1.47954750099672,-0.681021104400667
-9.679018,0.7531,-0.776392,-0.00956,-0.013764,0.002987,0.488914,-0.59307,-0.096607,2.36961267434889,1.47952926232144,-0.681477699600611
-9.671362,0.75319,-0.784173,-0.021673,-0.011381,0.008445,0.488914,-0.59307,-0.096607,2.36911893857383,1.47951357182472,-0.681922583651167
-9.709798,0.767909,-0.73746,-0.03086,-0.016119,0.000317,0.488914,-0.59307,-0.096607,2.36867093038656,1.47952053568256,-0.682298457441389
-9.671658,0.768219,-0.738414,-0.034415,-0.013865,-0.000316,0.492225,-0.590967,-0.106869,2.36826938282472,1.47952454993644,-0.682618777448444
-9.686979,0.752705,-0.685111,-0.037471,-0.013142,0.007086,0.492225,-0.590967,-0.106869,2.36765614445672,1.47949796859439,-0.683143265898944
-9.671779,0.752774,-0.670311,-0.02556,-0.011986,0.007138,0.492225,-0.590967,-0.106869,2.36716713851994,1.47948555931389,-0.683573646275667
-9.694599,0.74499,-0.669845,-0.024909,-0.013578,0.007446,0.492225,-0.590967,-0.106869,2.36664343546694,1.47947545386606,-0.684040469096389
-9.694691,0.75256,-0.662147,-0.018807,-0.014595,0.006812,0.4865,-0.574607,-0.041233,2.36612805762744,1.47946824566233,-0.684514273228222
-9.687183,0.760164,-0.647049,-0.010403,-0.015933,0.008435,0.4865,-0.574607,-0.041233,2.36550246233878,1.4794443172185,-0.685072655944167
-9.671715,0.745176,-0.670418,-0.003686,-0.020459,0.006475,0.4865,-0.574607,-0.041233,2.36491950540772,1.47944810457978,-0.685652261845889
-9.664059,0.745266,-0.678199,-0.000733,-0.019197,0.009074,0.4865,-0.574607,-0.041233,2.36431748949733,1.47944505025617,-0.686258431636389
-9.694865,0.783034,-0.684492,0.004326,-0.016105,0.004943,0.497831,-0.583625,-0.059114,2.36386770107572,1.47944370635378,-0.686724451606333
-9.656274,0.73016,-0.686195,0.002073,-0.013223,0.004962,0.497831,-0.583625,-0.059114,2.36338920201217,1.4794213836115,-0.687014315643667
-9.66416,0.760489,-0.685576,0.005027,-0.010691,0.007577,0.497831,-0.583625,-0.059114,2.36299385036394,1.47940572802133,-0.687427399822111
-9.671826,0.745065,-0.640054,0.009269,-0.010711,0.010167,0.497831,-0.583625,-0.059114,2.36255860052272,1.4793855694855,-0.6878911857725
-9.679637,0.78313,-0.677283,0.008791,-0.00854,0.003109,0.491844,-0.585182,-0.09627,2.36230086796978,1.47937391069594,-0.688175517120778
-9.664344,0.775629,-0.670181,0.011787,-0.012661,0.00758,0.491844,-0.585182,-0.09627,2.36181304885589,1.47934537458678,-0.688697719191889
-9.641387,0.760564,-0.655786,0.019666,-0.00708,-0.000061,0.491844,-0.585182,-0.09627,2.36167213109111,1.47933666540117,-0.688892043986667
-9.648877,0.737653,-0.640734,0.018541,-0.000977,0.007406,0.491844,-0.585182,-0.09627,2.36150077480989,1.47930401031844,-0.689114136946389
-9.656708,0.768038,-0.655297,0.030381,0.00174,0.004258,0.499179,-0.59618,-0.043531,2.36147215143433,1.47927203591356,-0.689222609067778
-9.725571,0.80558,-0.683407,0.030345,0.001724,0.002654,0.499179,-0.59618,-0.043531,2.36140198925767,1.47922662248478,-0.689354817646944
-9.679444,0.760337,-0.677604,0.042284,0.000351,0.003962,0.499179,-0.59618,-0.043531,2.36138237177344,1.47919765004367,-0.689484128982
-9.687044,0.760303,-0.685004,0.046411,-0.007332,0.001317,0.499179,-0.59618,-0.043531,2.36127719832156,1.47918696863767,-0.689709712597278
-9.687007,0.752677,-0.67752,0.052011,0.001869,0.007231,0.491067,-0.587707,-0.035971,2.36124785936161,1.47914953135683,-0.6898732149035
-9.7175,0.760111,-0.699422,0.053619,-0.007358,0.007137,0.491067,-0.587707,-0.035971,2.36097759535522,1.47911221624894,-0.690322741525945
-9.664068,0.752919,-0.693274,0.052409,-0.004458,0.010703,0.491067,-0.587707,-0.035971,2.36076141905667,1.47907991023178,-0.690674861405111
-9.687053,0.767956,-0.700078,0.053661,-0.006707,0.009075,0.491067,-0.587707,-0.035971,2.36053696990444,1.4790544458995,-0.6910384306345
-9.694441,0.75281,-0.730465,0.055472,-0.007403,0.0036,0.491816,-0.582903,-0.046333,2.36040947371028,1.47903985495928,-0.691309183332667
-9.65632,0.745438,-0.708754,0.054346,-0.009873,0.010971,0.491816,-0.582903,-0.046333,2.36001742073156,1.47900049781789,-0.691789131018278
-9.717492,0.752457,-0.684347,0.050078,-0.010499,0.00709,0.491816,-0.582903,-0.046333,2.3597501935955,1.47898522619983,-0.692186664326222
-9.64905,0.791115,-0.715894,0.049741,-0.014309,0.006401,0.491816,-0.582903,-0.046333,2.35942259557161,1.47897793072972,-0.692643975110556
-9.6796,0.775505,-0.669799,0.051108,-0.009214,0.010004,0.491053,-0.595403,-0.088647,2.35912664034033,1.47895524146861,-0.693072941771778
-9.702438,0.783028,-0.699482,0.048567,-0.007908,0.011621,0.491053,-0.595403,-0.088647,2.35874790421256,1.478911032316,-0.693577969817556
-9.67164,0.752912,-0.708265,0.054584,-0.013082,0.007075,0.491053,-0.595403,-0.088647,2.35844341432844,1.47890033345672,-0.694024232677056
-9.67223,0.805958,-0.669562,0.053074,-0.006044,0.011656,0.491053,-0.595403,-0.088647,2.35818189441422,1.47886905718294,-0.694423546219333
-9.687293,0.783041,-0.669501,0.057462,-0.004225,0.006218,0.499172,-0.587992,-0.038114,2.35807083920772,1.47884415135556,-0.694682797207444
-9.694968,0.77527,-0.639054,0.066454,-0.006859,0.005254,0.499172,-0.587992,-0.038114,2.35788052866683,1.47880927970656,-0.695052108565222
-9.649255,0.775586,-0.625017,0.070611,-0.005636,0.003992,0.499172,-0.587992,-0.038114,2.35781830773156,1.47879079668539,-0.695295337444333
-9.648996,0.768183,-0.67826,0.078426,-0.008539,0.00817,0.499172,-0.587992,-0.038114,2.3576399875925,1.47877007964467,-0.695674754249944
-9.664234,0.752752,-0.647729,0.083759,-0.004512,0.001794,0.488738,-0.582481,-0.038632,2.35767442290956,1.4787534815775,-0.695853912146333
-9.648951,0.752904,-0.655702,0.093409,-0.008418,0.001461,0.488738,-0.582481,-0.038632,2.35759476614978,1.47872808705833,-0.696170985843722
-9.679454,0.745003,-0.639863,0.098868,-0.001491,0.000913,0.488738,-0.582481,-0.038632,2.35774170529539,1.47870768417661,-0.696275112098944
-9.672028,0.775511,-0.654808,0.102437,-0.000245,0.002228,0.488738,-0.582481,-0.038632,2.35789614935044,1.47868277834922,-0.696380634616389
-9.687164,0.767845,-0.669715,0.106935,-0.003468,0.001886,0.496729,-0.584921,-0.088093,2.35800683803811,1.47866417315511,-0.696541414211278
-9.663937,0.760711,-0.746303,0.107241,-0.002524,0.001251,0.496729,-0.584921,-0.088093,2.35807879790239,1.47862872554794,-0.696741149522167
-9.656116,0.737979,-0.746815,0.102496,-0.006894,0.005049,0.496729,-0.584921,-0.088093,2.35805244345294,1.47861060904561,-0.697028395567833
-9.671639,0.7759,-0.76108,0.100229,-0.004973,0.004421,0.496729,-0.584921,-0.088093,2.35806918114633,1.47859018871061,-0.697266667716055
-9.694292,0.768283,-0.806159,0.095384,-0.012872,0.003675,0.493708,-0.595457,-0.088488,2.35793739144583,1.4785850923535,-0.697641948094833
-9.686811,0.775859,-0.783471,0.092902,-0.003923,0.00795,0.493708,-0.595457,-0.088488,2.35781923275528,1.47854027233617,-0.697996633605833
-9.694439,0.775797,-0.78328,0.087388,-0.007061,0.005965,0.493708,-0.595457,-0.088488,2.357734706531,1.47852082938472,-0.698304352346333
-9.671463,0.768413,-0.79155,0.075218,-0.009142,0.008797,0.493708,-0.595457,-0.088488,2.35752600023533,1.47850005998417,-0.698706266427
-9.701975,0.768165,-0.790787,0.068746,-0.005918,0.007203,0.493764,-0.582344,-0.033074,2.357393215698,1.47847641079278,-0.699015660682167
-9.67174,0.791123,-0.768457,0.065149,-0.007489,0.004598,0.493764,-0.582344,-0.033074,2.35720342875544,1.47844373825678,-0.699396369030333
-9.709908,0.790786,-0.759911,0.052063,-0.012405,0.009652,0.493764,-0.582344,-0.033074,2.35685872651933,1.47842721000272,-0.699876718141333
-9.686849,0.760497,-0.73814,0.054233,-0.011184,0.005808,0.493764,-0.582344,-0.033074,2.35661626558444,1.47841530686728,-0.700259835041833
-9.687117,0.775554,-0.699971,0.053955,-0.006402,0.007792,0.490291,-0.583831,-0.067451,2.35642656590828,1.47839143078328,-0.700589265659889
-9.702485,0.775319,-0.669226,0.04595,-0.008532,0.009674,0.490291,-0.583831,-0.067451,2.35607228182267,1.47835165476322,-0.701063209417944
-9.656716,0.775691,-0.670372,0.05257,-0.007374,0.003268,0.490291,-0.583831,-0.067451,2.355947141821,1.47833748270167,-0.701324327906778
-9.649292,0.783212,-0.632501,0.066812,-0.003989,0.006894,0.490291,-0.583831,-0.067451,2.35585312101361,1.47831091881289,-0.701589949341278
-9.679757,0.790673,-0.661994,0.072829,-0.004403,0.002405,0.485525,-0.590124,-0.033728,2.35585186437761,1.47829301174989,-0.701777519717556
-9.702521,0.782945,-0.67671,0.075508,-0.010744,0.007174,0.485525,-0.590124,-0.033728,2.35557823188861,1.4782615085835,-0.702263279344667
-9.664482,0.798478,-0.685041,0.079994,-0.006665,0.006267,0.485525,-0.590124,-0.033728,2.35547843404628,1.47824075663622,-0.702567821588611
-9.656624,0.768121,-0.678069,0.08385,-0.004481,0.00598,0.485525,-0.590124,-0.033728,2.35543542916983,1.47821665365961,-0.702824978183389
-9.679453,0.76799,-0.692678,0.089867,-0.002353,0.001518,0.493778,-0.598719,-0.043908,2.35553295808606,1.47819668710983,-0.702956122112611
-9.679193,0.760587,-0.745921,0.086724,-0.006742,0.005,0.493778,-0.598719,-0.043908,2.35540336749856,1.47816219943294,-0.703242617667333
-9.664002,0.768309,-0.746196,0.087018,0.000232,0.003789,0.493778,-0.598719,-0.043908,2.35549990157794,1.4781336458705,-0.7033676005895
-9.679305,0.760476,-0.715558,0.077313,0.001261,0.001515,0.493778,-0.598719,-0.043908,2.35563500740122,1.47810730887433,-0.7034294899125
-9.671694,0.775844,-0.745898,0.074772,-0.003783,0.00306,0.495959,-0.595635,-0.03321,2.35563837588383,1.47808713288522,-0.703617269728111
-9.679544,0.798548,-0.737796,0.072176,0.001315,0.002143,0.495959,-0.595635,-0.03321,2.35568284683561,1.47804323789161,-0.703771731236444
-9.68707,0.783263,-0.730228,0.066389,-0.00212,0.002408,0.495959,-0.595635,-0.03321,2.35570941072439,1.47802129912144,-0.703915197179778
-9.671631,0.745259,-0.69319,0.068357,0.002639,0.004074,0.495959,-0.595635,-0.03321,2.35579971398361,1.47798798081417,-0.703999566324556
-9.694599,0.74499,-0.669845,0.073228,0.001654,0.006013,0.496313,-0.592741,-0.08565,2.35584669820739,1.47795298699222,-0.704139698691833
