# Time(ns),period(us),execution,x,y,z,Vx,Vy,Vz,roll_OT,pitch_OT,yaw_OT,roll_PX4,pitch_PX4,yaw_PX4,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyr_x,imu_gyr_y,imu_gyr_z,imu_mag_x,imu_mag_y,imu_mag_z,imu_absolute_pressure,ultrasonic_distance
62089189648,9919,127,-1.71862,0.0179867,-0.427399,0,0,0,-0.0472769,0.00618223,0.0366516,-0.0312441,-0.0268681,2.82309,-0.282794,0.291822,-9.72712,0.000411928,-0.00514654,-0.000398618,-0.163904,-0.0757229,0.478869,1011.41,0
62099144186,9964,119,-1.71859,0.0180444,-0.427321,0.00127563,0.00295506,0.0039856,-0.0477948,0.00735798,0.0367698,-0.031248,-0.0268726,2.82308,-0.28266,0.295974,-9.76085,0.000905328,-0.00513776,-0.00148005,-0.166155,-0.0708398,0.478585,1011.5,26
62109132725,9978,127,-1.71859,0.0180444,-0.427321,0.00127563,0.00295506,0.0039856,-0.0477948,0.00735798,0.0367698,-0.0312504,-0.0268819,2.8231,-0.291093,0.323843,-9.7395,0.00146464,-0.00503745,-0.000757616,-0.166852,-0.0746658,0.476896,1011.5,26
62119103186,9958,136,-1.71859,0.0180305,-0.427368,0.000127883,-0.000679198,-0.00231352,-0.047257,0.00892655,0.0364839,-0.0312501,-0.0268829,2.82309,-0.291093,0.323843,-9.7395,0.00146464,-0.00503745,-0.000757616,-0.166852,-0.0746658,0.476896,1011.5,26
62129151186,10019,148,-1.71859,0.0180305,-0.427368,0.000127883,-0.000679198,-0.00231352,-0.047257,0.00892655,0.0364839,-0.031251,-0.0268822,2.82308,-0.272655,0.280427,-9.70492,0.000837448,-0.00440161,-0.00040683,-0.166402,-0.0770783,0.478382,1011.44,26
62139444571,10345,119,-1.71859,0.0180184,-0.427384,0.00010376,-0.000619888,-0.00078125,-0.0475891,0.00799588,0.0360634,-0.0312525,-0.0268785,2.82308,-0.270935,0.309975,-9.74623,0.00149348,-0.00515093,9.72886e-05,-0.167735,-0.0745052,0.476847,1011.44,26
62149126878,9648,150,-1.71859,0.0180184,-0.427384,0.00010376,-0.000619888,-0.00078125,-0.0475891,0.00799588,0.0360634,-0.0312473,-0.0268742,2.82308,-0.270935,0.309975,-9.74623,0.00149348,-0.00515093,9.72886e-05,-0.167735,-0.0745052,0.476847,1011.44,26
62159077186,9986,117,-1.7186,0.0180082,-0.427427,-0.00046503,-0.000497001,-0.00210571,-0.0462491,0.00595742,0.0364593,-0.0312409,-0.0268698,2.82308,-0.278048,0.284962,-9.758,0.000394149,-0.00482769,-0.000925562,-0.167332,-0.0745058,0.476913,1011.49,26
62169742263,10644,137,-1.7186,0.0180082,-0.427427,-0.00046503,-0.000497001,-0.00210571,-0.0462491,0.00595742,0.0364593,-0.03124,-0.026868,2.82307,-0.23699,0.312585,-9.77601,0.000515613,-0.00514654,-0.000402117,-0.165042,-0.0735584,0.478365,1011.49,26
62179114494,9365,133,-1.7186,0.0180698,-0.427407,2.44141e-05,0.00315332,0.000997925,-0.0447426,0.00609164,0.0361629,-0.0312424,-0.0268657,2.82308,-0.23699,0.312585,-9.77601,0.000515613,-0.00514654,-0.000402117,-0.165042,-0.0735584,0.478365,1011.49,26
