ax,ay,az,gx,gy,gz,mx,my,mz,phi,theta,psi
-0.029854618,0.080162816,-0.32876492,0.13575703,-0.009542162,0.037860755,-0.24316919,-0.7449602,0.35843146,-0.0301907,-0.0256847,2.7357
-0.029854618,0.080162816,-0.32876492,0.13575703,-0.009542162,0.037860755,-0.24316919,-0.7449602,0.35843146,-0.0301985,-0.0256999,2.73571
-0.028578233,0.078432865,-0.33392477,0.13335764,-0.009593803,0.038946375,-0.2378329,-0.76242566,0.36724508,-0.0302027,-0.0256996,2.73572
-0.028047545,0.07673598,-0.33577394,0.13302746,-0.009371995,0.040175878,-0.23997003,-0.78930235,0.36359096,-0.03021,-0.0257014,2.73572
-0.0277822,0.07588753,-0.33669853,0.13286239,-0.00926109,0.04079063,-0.24103856,-0.8027407,0.36176395,-0.0302151,-0.0257028,2.73571
-0.02589429,0.07595648,-0.3357005,0.13302737,-0.0093253935,0.039164744,-0.23986667,-0.7921823,0.36219478,-0.03022,-0.0256931,2.73572
-0.024950335,0.07599096,-0.33520174,0.13310987,-0.009357545,0.0383518,-0.23928076,-0.786903,0.3624102,-0.0302221,-0.0256899,2.73572
-0.026602065,0.07075261,-0.3326242,0.13191313,-0.009374414,0.038896132,-0.23685235,-0.7714753,0.36611748,-0.0302236,-0.0256868,2.7357
-0.027427932,0.06813345,-0.3313353,0.13131475,-0.009382849,0.0391683,-0.23563814,-0.7637615,0.36797106,-0.0302262,-0.0256901,2.7357
-0.027273644,0.06805888,-0.33453274,0.13184798,-0.0095129255,0.038975436,-0.23345727,-0.7693217,0.37014782,-0.030227,-0.0256979,2.7357
-0.027980292,0.0706354,-0.3268311,0.13237661,-0.0093559325,0.040186252,-0.23625684,-0.76158226,0.3636893,-0.0302267,-0.0256986,2.7357
-0.027908154,0.071148396,-0.33093524,0.13204773,-0.009747299,0.03887966,-0.23455107,-0.76859605,0.36069274,-0.0302211,-0.0257039,2.73571
-0.027107848,0.07363344,-0.33396983,0.13235135,-0.009615365,0.03660228,-0.23416466,-0.770293,0.36865747,-0.0302234,-0.0257129,2.73568
-0.026700977,0.072077475,-0.33721638,0.13205406,-0.009554235,0.03759365,-0.23590839,-0.7710191,0.36585712,-0.0302227,-0.0257144,2.73567
-0.02649754,0.0712995,-0.33883977,0.13190542,-0.009523671,0.03808934,-0.23678029,-0.7713821,0.36445677,-0.0302223,-0.025715,2.73566
-0.025706876,0.07176551,-0.34001923,0.13239819,-0.009361425,0.039541367,-0.23597986,-0.7774466,0.36090112,-0.0302262,-0.0257126,2.73566
-0.025311543,0.07199852,-0.3406093,0.13264458,-0.009280303,0.04026738,-0.23557961,-0.78047895,0.35912323,-0.0302295,-0.0257117,2.73567
-0.026474072,0.07202793,-0.3359754,0.1324958,-0.009435966,0.03901896,-0.23936957,-0.7845973,0.36582422,-0.0302288,-0.0257113,2.73565
-0.027055334,0.07204264,-0.33365822,0.13242143,-0.009513797,0.03839475,-0.24126452,-0.7866564,0.36917484,-0.0302273,-0.0257125,2.73564
-0.026617967,0.07182789,-0.33607268,0.13284294,-0.00957921,0.038973935,-0.23854148,-0.7648765,0.36680806,-0.0302207,-0.025719,2.73566
-0.026814248,0.06678181,-0.33225918,0.13210066,-0.009611916,0.039293665,-0.24164146,-0.759972,0.3688568,-0.0302207,-0.025719,2.73566
-0.026520101,0.07110947,-0.33244276,0.1317221,-0.009552597,0.039355274,-0.23812467,-0.75298095,0.3645376,-0.0302148,-0.0257217,2.73567
-0.02612652,0.07273676,-0.32513165,0.13178702,-0.009600459,0.040385593,-0.23803854,-0.75504947,0.36958587,-0.0302165,-0.0257218,2.73568
-0.026730202,0.073100425,-0.32738757,0.13204254,-0.0096742455,0.04119143,-0.23661858,-0.7515936,0.36974263,-0.0302217,-0.0257232,2.73569
